A theory for multiresolution signal decomposition: the wavelet representation,"S. G. Mallat, ",1989,10221,Diffusion LMP algorithm with adaptive variable power,Code generator for implementing dual tree complex wavelet transform on reconfigurable architectures for mobile applications,High-frequency-based features for low and high retina haemorrhage classification,Motion artefact removals for wearable ECG using stationary wavelet transform,Fault detection classification and location for transmission lines and distribution systems: a review on the methods,Singular value decomposition and wavelet-based iris biometric watermarking,Robust transcale decentralised estimation fusion for multisensor systems based on wavelet packet decomposition,Addressing the illumination challenge in two-dimensional face recognition: a survey,Fusion of structural and textural features for melanoma recognition,Condition monitoring of 11 kV overhead power distribution line insulators using combined wavelet and LBP-HF features,Reduced memory low complexity embedded image compression algorithm using hierarchical listless discrete tchebichef transform,Medical image denoising by generalised Gaussian mixture modelling with edge information,Bayesian denoising of ultrasound images using heavy-tailed Levy distribution,Image segmentation framework based on multiple feature spaces,Content-based image retrieval using fuzzy class membership and rules based on classifier confidence,Sparse representation based on vector extension of reduced quaternion matrix for multiscale image denoising,Scheme for unsupervised colour–texture image segmentation using neutrosophic set and non-subsampled contourlet transform,Texture classification by multifractal spectrum and barycentric coordinates of bit planes of wavelet coefficients,Fast Coiflet magnetic field integral equation for scattering from open rough surfaces,Development of backscatter sounding single-site location system,Short-term forecasting of ionospheric total electron content over a low-latitude global navigation satellite system station,Real-time fault analysis of transmission lines using wavelet multi-resolution analysis based frequency-domain approach,Proposal of a novel fitness function for evaluation of wavelet shrinkage parameters on partial discharge denoising,Robust zero-point attraction least mean square algorithm on near sparse system identification,Comparative study of automatic speech recognition techniques,Robust transcale state estimation for multiresolution discrete-time systems based on wavelet transform,Improved sub-band adaptive thresholding function for denoising of satellite image based on evolutionary algorithms,Search of a robust defect signature in gear systems across adaptive Morlet wavelet of vibration signals,Transforming the SMV model into MMV model based on the characteristics of wavelet coefficients,Computing the proximity operator of the ℓ<sub>p</sub> norm with 0 &lt; p &lt; 1
Compressed sensing,"D. L. Donoho, ",2006,10179,Blind sparsity weak subspace pursuit for compressed sensing,High-quality decoding method based on resampling and re-reconstruction,Regularised reweighted BPDN for compressed video sensing,Improved bounds on restricted isometry constant for orthogonal matching pursuit,Tree-structured complex wavelet-based Bayesian compressive sensing method,2D SAR imaging scheme based on compressive sensing,Divide and conquer method for sparsity estimation within compressed sensing framework,Compressive sensing of images based on discrete periodic radon transform,Sensing and measurement dictionaries design for block OMP algorithm,Fast sparse reconstruction algorithm for multidimensional signals,High-resolution inverse synthetic aperture radar imaging of manoeuvring targets with sparse aperture,Impact of compressed sensing on clinically relevant metrics for ambulatory ECG monitoring,MMSE-based version of OMP for recovery of discrete-valued sparse signals,Exploiting random convolution and random subsampling for image encryption and compression,Distributed perceptual compressed sensing framework for multiview images,L<sub>q</sub> regularisation-based synthetic aperture radar image feature enhancement via iterative thresholding algorithm,Exact support recovery via orthogonal matching pursuit from noisy measurements,2D single snapshot imaging using MIMO radar based on SR,VQ-based compressive sensing with high compression quality,Improved analysis of orthogonal matching pursuit in general perturbations,Compressive sampling for time critical microwave imaging applications,Diagnostic measure to quantify loss of clinical components in multi-lead electrocardiogram,Sparse block circulant matrices for compressed sensing,Impact of channel models on compressed sensing recovery algorithms-based ultra-wideband channel estimation,Reconstruction method for pulse position modulationultra wideband communication signal based on compressed sensing,Despread-ahead cyclic-prefix code division multiple access receiver with compressive sensing channel impulse response estimation,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Stable adaptive sparse filtering algorithms for estimating multiple-input–multiple-output channels,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Gradient-based compressive sensing for noise image and video reconstruction
Image quality assessment: from error visibility to structural similarity,"Zhou Wang, A. C. Bovik, H. R. Sheikh, E. P. Simoncelli, ",2004,8442,SUSAN controlled decay parameter adaption for non-local means image denoising,Fast and efficient blind image quality index in spatial domain,Combination of geometric clustering and nonlocal means for SAR image despeckling,Full-reference image quality assessment using statistical local correlation,Content-based image quality assessment using semantic information and luminance differences,On ambiguity of objective image quality assessment,Recursive anisotropic diffusion denoising,Removing ring artefacts in CT images via unidirectional relative variation model,JPEG quantisation requires bit-shifts only,Blind curvelet watermarking method for high-quality images,Real-time 3D ultrasound denoising based on adaptive regularisation Savitzky–Golay filter,Colour-reproduction algorithm for transmitting variable video frames and its application to capsule endoscopy,Effects of image compression on ear biometrics,Multi-frame super-resolution for long range captured iris polar image,Real-time depth enhancement by fusion for RGB-D cameras,Motion objects segmentation based on structural similarity background modelling,Strategy for aesthetic photography recommendation via collaborative composition model,Image dehazing using two-dimensional canonical correlation analysis,Improved anisotropic diffusion equation based on new non-local information scheme for image denoising,l<sub>2</sub>-norm-based prior for haze-removal from single image,Single image dehazing with bright object handling,High-order Markov random field for single depth image super-resolution,Noise-refined image enhancement using multi-objective optimisation,Optimised image retargeting using aesthetic-based cropping and scaling,Guided image filtering using signal subspace projection,Edge detection for illumination varying images using wavelet similarity,Is there a relationship between peak-signal-to-noise ratio and structural similarity index measure?,Layered-based exposure fusion algorithm,Non-parametric modified histogram equalisation for contrast enhancement,Fusion framework for multi-focus images based on compressed sensing
Space-time codes for high data rate wireless communication: performance criterion and code construction,"V. Tarokh, N. Seshadri, A. R. Calderbank, ",1998,4914,On Performance of Space-Time Eigenbeam Coding,Distributed Linear Dispersion Space-Time Code,A QRD-Based Chase Decoding Algorithm for Quasi-Orthogonal Space-Time Block Code Systems,An Efficient Rate One STBC Scheme with 3 Transmit Antennas,The Performance of Space-Time Spread Spectrum LS-CDMA System over Fading Channel,Performance Comparison of Different Space-Time Block Codes Using A Single Receiver,A Novel Transmission Scheme with Relay Selection and HARQ in Decoded-and-Forward Mode of Cooperative Network,Space-Time Block Codes Assisted by Fast Turbo Codes,Asynchronous Space-Time Cooperation,Adaptive bit and power allocation algorithm for SVD-MIMO system with fixed transmission rate,A New 2×2 Coordinate Interleaved STBC for High-Rate Wireless Systems,Channel Estimation Algorithm for Super-Orthogonal Space Time Trellis Coded-OFDM Systems,A competent decoding algorithm for Trellis Code in Digital Mobile Radio,Adaptive Cellular Cyclic Delay Diversity for Multi-Carrier Spread Spectrum Systems,The wideband Omni-directional ceiling-mounted antenna with notched characteristic,Cooperative Diversity in Coded CDMA Systems over Frequency-Selective Fading Channels,Downlink Performance of a Multi-Carrier MIMO System in a Bursty Traffic Cellular Network,Optimal Space-Time Power Allocation in MIMO Rician Fading Channels with Ideal Channel State Information,Space-Time Block Coded Transmission with Phase Feedback for Two-User MIMO-MAC,BER analysis of mobile WiMAX system using LDPC coding and MIMO system under Rayleigh channel,On Space Time Block Codes in Non Quasi-Static Fading Channels,Error Performance of Convolutionally Concatenated Space-Time Block Codes,A Non-Full Spreading Full-Diversity Full-Rate STBC Design for Multiple Antennas BICM-ID Systems,On the Design of Quasi-Orthogonal Space-Time-Frequency Block Code over MIMO OFDM Channel,Complex Orthogonal Space-Time Block Codes Rates 5/13 and 6/14 for 5 and 6 Transmit Antennas,Achieving high-diversity in MB-OFDM systems,Exploiting algebraic structure in cross-layer design,On the optimality of incremental redundancy LAST coding,Application of randomization techniques to space-time convolutional codes,Externally encoded space-time coded systems with continuous phase frequency shift keying
User cooperation diversity. Part I. System description,"A. Sendonaris, E. Erkip, B. Aazhang, ",2003,4758,Outage performance of MIMO cooperative networks with selective OFDMA relaying,Ergodic and outage capacities of relaying channels in spectrum-sharing constrained systems,Multiple carrier frequency offsets tracking in co-operative space-frequency block-coded orthogonal frequency division multiplexing systems,Joint iterative decoding for LDPC-coded multi-relay cooperation with receive multi-antenna in the destination,On channel estimation of orthogonal frequency-division multiplexing amplify-and-forward cooperative relaying systems,Optimal incremental relaying in cooperative diversity systems,Distributed space-time trellis codes with continuous phase modulation for amplify and forward relaying,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Delay-limited throughput analysis of cooperative hybrid automatic repeat request in asymmetric fading channels,N-Rth dual best relays opportunistic cooperation schemes and performance analyses over nakagami-m fading channels,Spectrum sensing and power efficiency trade-off optimisation in cognitive radio networks over fading channels,Impact of interference power constraint on multi-hop cognitive amplify-and-forward relay networks over Nakagami-m fading,A low-complexity relay selection scheme based on switch-and-examine diversity combining for AF relay systems,Survey on cooperative medium access control protocols,Cooperative communication-aided multi-carrier code division multiple access downlink transmission with transmitter preprocessing: performance results,Decode and forward relaying for energy-efficient multiuser cooperative cognitive radio network with outage constraints,On impact of relay placement for energy-efficient cooperative networks,Performance analysis of randomised space-time block codes for amplify-and-forward cooperative relaying,Extended low-density parity-check codes for feedback-based cooperative diversity schemes,Distributed orthogonal space-time block coding in wireless relay networks,Selective combining for hybrid cooperative networks,Diversity analysis of distributed linear convolutive space-time codes for time-frequency asynchronous cooperative networks,Power allocation for orthogonal frequency division multiplexing-based cognitive radio networks with cooperative relays,Cooperative spectrum sharing systems with relay selection in the presence of multiple primary receivers,Performance analysis of two-way opportunistic decode-and-forward based systems in nakagami-m fading environments,Robust beamforming and power allocation in cognitive radio relay networks with imperfect channel state information,Improved maximum a posteriori signal detection for amplify-and-forward relay networks with imperfect channel state information,Bit error probability of decode-and-forward relaying with efficient partial relay selection in non-identical rayleigh fading channels,Diversity-multiplexing tradeoff of opportunistic relay system with multiple-antenna destination,Low-complexity amplify-and-forward relaying protocol for non-coherent chaos-based communication system
Network information flow,"R. Ahlswede, Ning Cai, S. -Y. R. Li, R. W. Yeung, ",2000,4703,Multiuser analogue network coding with code division multiple access,Wireless physical layer network coding in potential presence of malicious relays – incomplete information game approach,Rate region of unicast routing networks,Delay analysis of network coding nodes and Butterfly network employing stop-and-wait automatic repeat request,Maximum euclidean distance network coded modulation for asymmetric decode-and-forward two-way relaying,Multiple-source multiple-destinations relay channels with network coding,Network-coded rateless coding scheme in erasure multiple-access relay enable communications,Performance analysis of network coding-based content distribution in vehicular ad-hoc networks,Use of matroid theory to construct a class of good binary linear codes,Optimisation of layer rate and wavelength allocation based on network coding for multirate optical multicast,Adaptive time division duplexing network with network coding embedded two-way relay,Design of amplify-and-forward relaying schemes for layered relay networks,Opportunistic relaying with analogue and digital network coding for two-way parallel relay network,User-specific link adaptation scheme for device-to-device network coding multicast,Minimum number of antennas and degrees of freedom of multiple-input–multiple-output multi-user two-way relay X channels,Secrecy outage performance for partial relay selection schemes in cooperative systems,SNR-based selective relaying schemes in network-coded two-way relay channels,Efficient combination of polynomial time algorithm and subtree decomposition for network coding,Source and physical-layer network coding for correlated two-way relaying,Opportunistic scheduling for a two-way relay network using Markov decision process,Merge-and-forward: a cooperative multimedia transmissions protocol using RaptorQ codes,Performance analysis of XOR two-way relay with finite buffers and instant scheduling,Caching efficiency of information-centric networking,Formation of network coding coalitions for cooperative communications,Upper bounds for the failure probability of random linear network coding for multicast network,Reduced functional dependence graphs,Minimum-costs of multiple unicasts wireless networks with inter-session network coding,Timely and reliable packets delivery over internet of vehicles for road accidents prevention: a cross-layer approach,On achievability of an (r l) fractional linear network code,Cooperative diversity routing and transmission for wireless sensor networks
Space-time block codes from orthogonal designs,"V. Tarokh, H. Jafarkhani, A. R. Calderbank, ",1999,4625,Computationally efficient linear predictor for communication over doubly selective fast-fading channel,On Performance of Space-Time Eigenbeam Coding,A QRD-Based Chase Decoding Algorithm for Quasi-Orthogonal Space-Time Block Code Systems,An Efficient Rate One STBC Scheme with 3 Transmit Antennas,Performance Comparison of Different Space-Time Block Codes Using A Single Receiver,A Novel Transmission Scheme with Relay Selection and HARQ in Decoded-and-Forward Mode of Cooperative Network,Error and Outage Performance of STBC MB-OFDM UWB,Space-Time Block Codes Assisted by Fast Turbo Codes,Special Property of Multiple-Trellis-Coded-Modulation Utilized for its Decoding,A Space Time Block Code from Quaternion Quasi-Orthogonal Design,Different Space-Time Modulation with Adaptive Loaded Eigen-Beamforming for Correlated Fading Channels,An Adaptive Space-Time Receiver for Time-Varying Channel with Imperfect Channel Estimation,Eigen-Beamforming Applied in STBC Multiplexing System,Outage probability of MIMO cognitive cooperative radio networks with multiple AF relays using orthogonal space-time block codes,Distributed Closed-Loop Quasi-Orthogonal Space Time Block Coding with four relay Nodes: overcoming Imperfect Synchronization,Link level performance analysis of adaptive MIMO-OFDM systems,Localization Algorithm Based on RSSI and Distance Geometry Constrain for Wireless Sensor Network,Ant-Colony Based Near-ML Block Decoder in Asynchronous Cooperative MIMO Systems Using a Linear Dispersion Structure,Efficient Iterative Decoding of Serially Concatenated Multiplexed Alamouti Codes,Is Transmit Beamforming Robust?,Linear Dispersion Codes for Asynchronous Cooperative MIMO Systems,Impact of Arbitrary Co-Channel MIMO Modes on Alamouti Coding under Path-Loss and Rayleigh Fading,Cooperative Diversity in Coded CDMA Systems over Frequency-Selective Fading Channels,Downlink Performance of a Multi-Carrier MIMO System in a Bursty Traffic Cellular Network,Eavesdropping-Resistant Space-Time Network Coding for Cooperative Communications,A Cross-Layer Architecture for Motion-Adaptive Video Transmission over MIMO Channels,On the Capacity of Multiple Cognitive Links through Common Relay under Spectrum-Sharing Constraints,OSTBC Transmission in MIMO AF Relay Systems with Keyhole and Spatial Correlation Effects,Space-Time Block Coded Transmission with Phase Feedback for Two-User MIMO-MAC,UKF Based Iterative Joint Channel Estimation for Uplink Two Dimensional Block Spread Wireless Networks
An Algorithm for Vector Quantizer Design,"Y. Linde, A. Buzo, R. Gray, ",1980,4342,Image retrieval based on histograms of EOPs and VQ indices,Efficient binary search space-structured VQ encoder applied to a line spectral frequency quantisation in G.729 standard,Index compression for vector quantisation using modified coding tree assignment scheme,Enhanced side match vector quantisation based on constructing complementary state codebook,New reversible full-embeddable information hiding method for vector quantisation indices based on locally adaptive complete coding list,High-quality initial codebook design method of vector quantisation using grouping strategy,Study on the consistency analysis between the prosody and the spectrum for Mandarin speech,Long-term intuitionistic fuzzy time series forecasting model based on vector quantisation and curve similarity measure,Detection of laryngeal function using speech and electroglottographic data,Morphological feature extraction for the classification of digital images of cancerous tissues,Vector quantization for compression of multichannel ECG,Mean-shape vector quantizer for ECG signal compression,Quality driven gold washing adaptive vector quantization and its application to ECG data compression,Multichannel ECG compression using multichannel adaptive vector quantization,Sequential and parallel neural network vector quantizers,Trellis-coded vector quantization,On convergence of Lloyd's method I,Entropy-constrained trellis-coded quantization,A vector quantizer for the Laplace source,Performance of entropy-constrained block transform quantizers,Joint design of block source codes and modulation signal sets,Vector quantization by deterministic annealing,Recursively indexed quantization of memoryless sources,Vector quantizers with direct sum codebooks,The root lattices as low bit rate vector quantizers,Trellis source code design as an optimization problem,Piecewise uniform vector quantizers,Vector quantization with complexity costs,Alphabet-constrained vector quantization,Universal schemes for sequential decision from individual data sequences
Near Shannon limit error-correcting coding and decoding: Turbo-codes. 1,"C. Berrou, A. Glavieux, P. Thitimajshima, ",1993,4041,Transmission of all-digital advanced television: state of the art and future directions,OFDM-based turbo-coded hierarchical and non-hierarchical terrestrial mobile digital video broadcasting,Satellite based turbo-coded blind-equalized 4-QAM and 16-QAM digital video broadcasting,Parallel concatenated convolutional coding for an LMDS system with multimedia services,Defining performance limits for turbo-code assisted synchronization in DVB-S systems,Ordered binary decision diagrams and minimal trellises,Optimum soft-output detection for channels with intersymbol interference,A rate-splitting approach to the Gaussian multiple-access channel,Unveiling turbo codes: some results on parallel concatenated coding schemes,Iterative decoding of binary block and convolutional codes,A distance spectrum interpretation of turbo codes,Minimal and canonical rational generator matrices for convolutional codes,On Diamond codes,On the spectrum of distances of a multilevel code decoded by a multistage decoder,Some structural properties of convolutional codes over rings,Serial concatenation of interleaved codes: performance analysis design and iterative decoding,MAP decoding of convolutional codes using reciprocal dual codes,Modulation and coding for linear Gaussian channels,Applications of error-control coding,The art of signaling: fifty years of coding theory,A comparison of known codes random codes and the best codes,Cross-entropy and iterative decoding,A simple one-sweep algorithm for optimal APP symbol decoding of linear block codes,Good error-correcting codes based on very sparse matrices,Multilevel codes: theoretical concepts and practical design rules,Design of interleavers for turbo codes: iterative interleaver growth algorithms of polynomial complexity,Which codes have cycle-free Tanner graphs?,The Golay convolutional code-some application aspects,Symbol-by-symbol APP decoding of the Golay code and iterative decoding of concatenated Golay codes,The geometry of turbo-decoding dynamics
Optimal decoding of linear codes for minimizing symbol error rate (Corresp.),"L. Bahl, J. Cocke, F. Jelinek, J. Raviv, ",1974,3817,On the error statistics of turbo decoding for hybrid concatenated codes design,Approaching the Shannon Limit in Digital Broadcasting,Suppression of Fiber Nonlinearities and PMD in Coded-Modulation Schemes With Coherent Detection by Using Turbo Equalization,Optical Code Division Multiple Access Network Transmission With M-ary Chip Symbols,Binary-input non-line-of-sight solar-blind UV channels: Modeling capacity and coding,Joint channel estimation interference mitigation and decoding for WDM coherent optical communications,Iterative joint detection decoding and channel estimation for dual antenna arrays in frequency selective fading,Convergence properties of iterative turbo decoding based on the number of searched states,Multiuser detection/decoding in asynchronous multitone multiple access systems,Deterministic and Monte Carlo approaches for joint iterative data detection and channel estimation,On EXIT-chart analysis of coherent and noncoherent space-time codes,MIMO spatial turbo coding with iterative equalization,UMICore — A mobile radio physical layer demonstrator,Error-prone relay networks with soft- and hard-decision re-encoding,Analysis of power optimization in a 2-hop multiple relay network,OFDM-IDM Space-Time Coding in two-hop relay-systems with error-prone relays,Time varying convolutional codes for punctured turbocodes,Improving turbocode performance by cross-entropy,Message passing methods for factor graph based MIMO detection,Iterative spatial demapping for two correlated sources over fading multiple access channel,Distributed joint source-channel coding for relay systems exploiting spatial and temporal correlations,An Efficient Adaptive Decoding for Block Turbo Codes,A Reduced-Complexity Parallel Interference Cancellation/Decoding for Convolutionally Coded CDMA Systems,Design of BICM-ID Systems with Suboptimal Log-MAP Decoding Algorithm,Space-Time Block Codes Assisted by Fast Turbo Codes,Max-Log-MAP and Log-MAP Decoding Algorithms for UST Symbol Based Turbo Code,An Adaptive Turbo Decoding Algorithm,Hybrid ARQ Scheme Based on TCM and Concatenated Codes,Modified Decoding Algorithm in CDMA System Under Fading Channel,A Novel Wireless Image Transmission Method Based Wavelet Decomposition Algorithm Over FH-OFDM System
